movie_id,title,content_type,genre_primary,genre_secondary,language,imdb_rating,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76,tfidf_77,tfidf_78,tfidf_79,tfidf_80,tfidf_81,tfidf_82,tfidf_83
movie_0001,Dragon Legend,Stand-up Comedy,History,Thriller,French,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26541433126268305,0.0,0.0,0.0,0.0,0.0,0.3649517129261039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649517129261039,0.0,0.0,0.0,0.0,0.0,0.35778582659792324,0.0,0.0,0.0,0.0,0.0,0.3828427520990685,0.0,0.0,0.0,0.0,0.0,0.0,0.3634760604704194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3096132692010168,0.0,0.0,0.37595367565567517,0.13885268249619903,0.0,0.0,0.0,0.0,0.0,0.0
movie_0002,Storm Warrior,Stand-up Comedy,Sci-Fi,No Secondary Genre,Japanese,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598150886979828,0.2541780168847792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33758028342770213,0.0,0.0,0.1384262391599987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765288100314779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21981672775367986,0.0,0.0,0.0,0.0,0.0,0.33758028342770213,0.1384262391599987,0.0,0.0,0.0,0.0,0.0,0.3030815955447418,0.3858622514692055,0.0,0.0,0.0,0.0,0.15768587074520898,0.0,0.38201938359146215,0.0,0.0
movie_0003,Fire Family,Movie,Drama,No Secondary Genre,English,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3531934726580125,0.0,0.0,0.0,0.0,0.0,0.4848067623073092,0.0,0.0,0.20494798881011445,0.4246449798266455,0.0,0.0,0.0,0.0,0.19235040352868624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44921749369077,0.0,0.24168742326997092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19235040352868624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18887259873953974,0.0,0.2191126556111625,0.0,0.0,0.0,0.0
movie_0004,Our Princess,Documentary,Sci-Fi,No Secondary Genre,Japanese,5.3,0.0,0.0,0.34896523630206255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28086769199497114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.370098251301444,0.0,0.0,0.15176037097653228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4127985578491525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34896523630206255,0.0,0.0,0.0,0.0,0.0,0.0,0.39656465473015545,0.0,0.0,0.0,0.370098251301444,0.15176037097653228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17287521778577417,0.0,0.0,0.0,0.0
movie_0005,Warrior Mission,Documentary,Sport,Mystery,English,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31841366872214644,0.0,0.0,0.0,0.0,0.1833153599023578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4657901561641825,0.0,0.0,0.36682208895319085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4702125081977792,0.0,0.0,0.0,0.0,0.16893675617237205,0.0,0.1959849206411893,0.0,0.47480499186604236,0.0,0.0
movie_0006,Kingdom Phoenix,Movie,Documentary,Music,English,8.0,0.3876383372990356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30523908228193236,0.0,0.0,0.0,0.0,0.17573055971289098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444555470650701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207232412542232,0.4404393449381732,0.0,0.0,0.0,0.0,0.0,0.0,0.26190214287505426,0.43280651603496323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18787590858675088,0.0,0.0,0.0,0.0
movie_0007,Battle Story,TV Series,Sci-Fi,No Secondary Genre,English,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.42492244547508534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16324357690709673,0.0,0.0,0.37363211360008836,0.0,0.0,0.15320944632756772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37363211360008836,0.15320944632756772,0.0,0.23232173075752072,0.0,0.0,0.0,0.0,0.0,0.40553847723336245,0.0,0.3008786646503522,0.0,0.17452590706181045,0.0,0.0,0.0,0.3566821585656623
movie_0008,Old House,Movie,Horror,No Secondary Genre,Spanish,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14848032077658024,0.0,0.0,0.0,0.0,0.0,0.39651376822013795,0.38012441484958676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3277945960296443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1865648601534572,0.0,0.0,0.0,0.0,0.0,0.0,0.5170729612771084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14848032077658024,0.0,0.0,0.3277945960296443,0.3403873839860996,0.0,0.0,0.0,0.0,0.0,0.14579571205615308,0.0,0.0,0.0,0.0,0.0,0.0
movie_0009,Dragon Empire,Movie,Biography,No Secondary Genre,Spanish,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44150177363016757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44684256560501756,0.0,0.0,0.4754871818607133,0.0,0.0,0.0,0.0,0.0,0.0,0.1731400547286173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2175497057688292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274941228660756,0.0,0.0,0.0,0.0,0.0,0.0,0.1731400547286173,0.0,0.0,0.0,0.39691920103650463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19722951700796185,0.0,0.0,0.0,0.0
movie_0010,Dream War,Limited Series,Thriller,Animation,Italian,8.2,0.0,0.0,0.0,0.0,0.0,0.34943330706482406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38506919880812995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38506919880812995,0.3796116459034293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38506919880812995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21261887181331343,0.0,0.0,0.0,0.0,0.0,0.0,0.3727807117063145,0.13768079727639346,0.0,0.0,0.2929645933998315,0.0,0.0,0.0
